TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950915.0,863.0,30168.0,1.0,EPS,0.0321,19950915.0,19970924.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950915.0,873.0,71723.0,1.0,EPS,0.0288,19950915.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950915.0,118.0,33091.0,1.0,EPS,0.0312,19950915.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,210.0,71682.0,1.0,EPS,0.0321,19950918.0,19950925.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,811.0,4363.0,1.0,EPS,0.0299,19950918.0,19960617.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,114.0,494.0,1.0,EPS,0.0281,19950918.0,19960627.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,241.0,3810.0,1.0,EPS,0.0317,19950918.0,19970310.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,86.0,9900.0,1.0,EPS,0.0312,19950918.0,19970318.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,232.0,740.0,1.0,EPS,0.0299,19950918.0,19970428.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,183.0,4684.0,1.0,EPS,0.029,19950918.0,19971016.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,125.0,8487.0,1.0,EPS,0.0302,19950918.0,19971016.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,11.0,938.0,1.0,EPS,0.0312,19950918.0,19971016.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,407.0,167.0,1.0,EPS,0.031,19950918.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,215.0,685.0,1.0,EPS,0.0304,19950918.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,211.0,4299.0,1.0,EPS,0.031,19950918.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,94.0,965.0,1.0,EPS,0.0281,19950918.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950918.0,7.0,6867.0,1.0,EPS,0.0289,19950918.0,19971017.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950919.0,189.0,5668.0,1.0,EPS,0.0308,19950919.0,19960521.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950919.0,933.0,9514.0,1.0,EPS,0.0306,19950919.0,19971015.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950919.0,29.0,9077.0,1.0,EPS,0.0295,19950919.0,19971016.0,19950930,19951018.0,0.0301
